dataelement/dsh-desktop	INSTALL_FAIL
GanyuanRan/Aegis	PASS
toby-bridges/api-relay-audit	PASS
bowenliang123/dsh-context	TASK_FAIL:
superdesigndev/treg	PASS
FSMargoo/dsh-at-file	PASS
superdesigndev/superdesign-skill	PASS
Ikalus1988/MisakaNet	TASK_FAIL:
EdgeTypE/better-deepseek	PASS
shaobeichen/dsh-pocket	TASK_FAIL:
xmanrui/dsh-im	TASK_FAIL:
V1ki/dsh-plugin-subscriptions	PASS
liustack/modsearch	PASS
d-dev0101/open-sea-skin	TASK_FAIL:
howmp/dsh-pentest	TASK_FAIL:
omdsh-dev/dsh-mnemon	TASK_FAIL:
Han-1413141/dsh-cost-meter	PASS
bradeGithub/DSH-Plugins-Marketplace	TASK_FAIL:
elysia395/dsh-wallpaper-engine	TASK_FAIL:
kingOfSoySauce/dsh-liang-skin	TASK_FAIL:
zh667/TokenLedger	PASS
ZSeven-W/dsh-noema	TASK_FAIL:
ALLDONE
